Start Time, Sun Mar 25 09:52:15 GMT-0400 2007
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 7197.517737
Real Time (s), 7200
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
90, 68.03278863430023, 1414
91, 68.78870850801468, 1476
92, 69.54462838172913, 1480
93, 70.30054825544357, 1433
94, 71.05646812915802, 1356
95, 71.81238800287247, 1421
96, 72.56830787658691, 1375
97, 73.32422775030136, 1397
98, 74.08014762401581, 1432
99, 74.83606749773026, 1443
100, 75.5919873714447, 1327
101, 76.34790724515915, 1413
102, 77.1038271188736, 1360
103, 77.85974699258804, 1337
104, 78.61566686630249, 1369
105, 79.37158674001694, 1355
106, 80.12750661373138, 1359
107, 80.88342648744583, 1349
108, 81.63934636116028, 1359
109, 82.39526623487473, 1355
110, 83.15118610858917, 1276
111, 83.90710598230362, 1254
112, 84.66302585601807, 1303
113, 85.41894572973251, 1304
114, 86.17486560344696, 1276
115, 86.93078547716141, 1340
116, 87.68670535087585, 1159
117, 88.4426252245903, 1228
118, 89.19854509830475, 1197
119, 89.9544649720192, 1230
120, 90.71038484573364, 1198
121, 91.46630471944809, 1219
122, 92.22222459316254, 1234
123, 92.97814446687698, 1181
124, 93.73406434059143, 1192
125, 94.48998421430588, 1157
126, 95.24590408802032, 1194
127, 96.00182396173477, 1119
128, 96.75774383544922, 1122
129, 97.51366370916367, 1088
130, 98.26958358287811, 1141
131, 99.02550345659256, 1112
132, 99.781423330307, 1079
133, 100.53734320402145, 1160
134, 101.2932630777359, 1087
135, 102.04918295145035, 1061
136, 102.8051028251648, 1033
137, 103.56102269887924, 1044
138, 104.31694257259369, 1038
139, 105.07286244630814, 993
140, 105.82878232002258, 1063
141, 106.58470219373703, 991
142, 107.34062206745148, 999
143, 108.09654194116592, 995
144, 108.85246181488037, 983
145, 109.60838168859482, 1001
146, 110.36430156230927, 996
147, 111.12022143602371, 981
148, 111.87614130973816, 985
149, 112.6320611834526, 990
150, 113.38798105716705, 976
151, 114.1439009308815, 1016
152, 114.89982080459595, 926
153, 115.6557406783104, 909
154, 116.41166055202484, 927
155, 117.16758042573929, 894
156, 117.92350029945374, 901
157, 118.67942017316818, 929
158, 119.43534004688263, 863
159, 120.19125992059708, 865
160, 120.94717979431152, 884
161, 121.70309966802597, 808
162, 122.45901954174042, 826
163, 123.21493941545486, 837
164, 123.97085928916931, 844
165, 124.72677916288376, 843
166, 125.4826990365982, 831
167, 126.23861891031265, 732
168, 126.9945387840271, 854
169, 127.75045865774155, 757
170, 128.506378531456, 840
171, 129.26229840517044, 794
172, 130.0182182788849, 772
173, 130.77413815259933, 754
174, 131.53005802631378, 745
175, 132.28597790002823, 707
176, 133.04189777374268, 702
177, 133.79781764745712, 701
178, 134.55373752117157, 745
179, 135.30965739488602, 730
180, 136.06557726860046, 654
181, 136.8214971423149, 690
182, 137.57741701602936, 691
183, 138.3333368897438, 703
184, 139.08925676345825, 694
185, 139.8451766371727, 668
186, 140.60109651088715, 633
187, 141.3570163846016, 652
188, 142.11293625831604, 658
189, 142.8688561320305, 659
190, 143.62477600574493, 669
191, 144.38069587945938, 620
192, 145.13661575317383, 646
193, 145.89253562688828, 598
194, 146.64845550060272, 645
195, 147.40437537431717, 615
196, 148.16029524803162, 576
197, 148.91621512174606, 581
198, 149.6721349954605, 616
199, 150.42805486917496, 589
200, 151.1839747428894, 590
201, 151.93989461660385, 641
202, 152.6958144903183, 585
203, 153.45173436403275, 593
204, 154.2076542377472, 608
205, 154.96357411146164, 543
206, 155.7194939851761, 533
207, 156.47541385889053, 537
208, 157.23133373260498, 567
209, 157.98725360631943, 535
210, 158.74317348003387, 611
211, 159.49909335374832, 555
212, 160.25501322746277, 534
213, 161.01093310117722, 534
214, 161.76685297489166, 515
215, 162.5227728486061, 540
216, 163.27869272232056, 516
217, 164.034612596035, 525
218, 164.79053246974945, 550
219, 165.5464523434639, 479
220, 166.30237221717834, 504
221, 167.0582920908928, 495
222, 167.81421196460724, 495
223, 168.5701318383217, 490
224, 169.32605171203613, 488
225, 170.08197158575058, 448
226, 170.83789145946503, 449
227, 171.59381133317947, 462
228, 172.34973120689392, 481
229, 173.10565108060837, 431
230, 173.86157095432281, 477
231, 174.61749082803726, 465
232, 175.3734107017517, 433
233, 176.12933057546616, 428
234, 176.8852504491806, 420
235, 177.64117032289505, 428
236, 178.3970901966095, 425
237, 179.15301007032394, 433
238, 179.9089299440384, 430
239, 180.66484981775284, 427
240, 181.42076969146729, 385
241, 182.17668956518173, 424
242, 182.93260943889618, 426
243, 183.68852931261063, 423
244, 184.44444918632507, 439
245, 185.20036906003952, 418
246, 185.95628893375397, 423
247, 186.71220880746841, 434
248, 187.46812868118286, 396
249, 188.2240485548973, 370
250, 188.97996842861176, 354
251, 189.7358883023262, 398
252, 190.49180817604065, 372
253, 191.2477280497551, 400
254, 192.00364792346954, 407
255, 192.759567797184, 391
256, 193.51548767089844, 352
257, 194.27140754461288, 388
258, 195.02732741832733, 395
259, 195.78324729204178, 402
260, 196.53916716575623, 387
261, 197.29508703947067, 391
262, 198.05100691318512, 362
263, 198.80692678689957, 343
264, 199.562846660614, 358
265, 200.31876653432846, 324
266, 201.0746864080429, 369
267, 201.83060628175735, 374
268, 202.5865261554718, 355
269, 203.34244602918625, 372
270, 204.0983659029007, 329
271, 204.85428577661514, 343
272, 205.6102056503296, 362
273, 206.36612552404404, 371
274, 207.12204539775848, 381
275, 207.87796527147293, 321
276, 208.63388514518738, 344
277, 209.38980501890182, 388
278, 210.14572489261627, 349
279, 210.90164476633072, 365
280, 211.65756464004517, 336
281, 212.4134845137596, 366
282, 213.16940438747406, 374
283, 213.9253242611885, 363
284, 214.68124413490295, 393
285, 215.4371640086174, 398
286, 216.19308388233185, 393
287, 216.9490037560463, 396
288, 217.70492362976074, 449
289, 218.4608435034752, 434
290, 219.21676337718964, 444
291, 219.97268325090408, 477
292, 220.72860312461853, 449
293, 221.48452299833298, 495
294, 222.24044287204742, 457
295, 222.99636274576187, 511
296, 223.75228261947632, 527
297, 224.50820249319077, 534
298, 225.2641223669052, 582
299, 226.02004224061966, 593
300, 226.7759621143341, 599
301, 227.53188198804855, 623
302, 228.287801861763, 631
303, 229.04372173547745, 645
304, 229.7996416091919, 637
305, 230.55556148290634, 660
306, 231.3114813566208, 654
307, 232.06740123033524, 748
308, 232.82332110404968, 662
309, 233.57924097776413, 713
310, 234.33516085147858, 685
311, 235.09108072519302, 727
312, 235.84700059890747, 724
313, 236.60292047262192, 685
314, 237.35884034633636, 760
315, 238.1147602200508, 701
316, 238.87068009376526, 714
317, 239.6265999674797, 725
318, 240.38251984119415, 676
319, 241.1384397149086, 658
320, 241.89435958862305, 662
321, 242.6502794623375, 634
322, 243.40619933605194, 605
323, 244.1621192097664, 621
324, 244.91803908348083, 590
325, 245.67395895719528, 560
326, 246.42987883090973, 581
327, 247.18579870462418, 537
328, 247.94171857833862, 522
329, 248.69763845205307, 447
330, 249.45355832576752, 498
331, 250.20947819948196, 508
332, 250.9653980731964, 419
333, 251.72131794691086, 422
334, 252.4772378206253, 451
335, 253.23315769433975, 445
336, 253.9890775680542, 360
337, 254.74499744176865, 387
338, 255.5009173154831, 397
339, 256.25683718919754, 357
340, 257.012757062912, 357
341, 257.76867693662643, 321
342, 258.5245968103409, 307
343, 259.2805166840553, 345
344, 260.0364365577698, 287
345, 260.7923564314842, 301
346, 261.54827630519867, 301
347, 262.3041961789131, 299
348, 263.06011605262756, 277
349, 263.816035926342, 283
350, 264.57195580005646, 291
351, 265.3278756737709, 256
352, 266.08379554748535, 233
353, 266.8397154211998, 247
354, 267.59563529491425, 236
355, 268.3515551686287, 268
356, 269.10747504234314, 210
357, 269.8633949160576, 229
358, 270.61931478977203, 240
359, 271.3752346634865, 243
360, 272.1311545372009, 214
361, 272.8870744109154, 252
362, 273.6429942846298, 259
363, 274.39891415834427, 230
364, 275.1548340320587, 216
365, 275.91075390577316, 223
366, 276.6666737794876, 250
367, 277.42259365320206, 232
368, 278.1785135269165, 226
369, 278.93443340063095, 226
370, 279.6903532743454, 238
371, 280.44627314805984, 221
372, 281.2021930217743, 217
373, 281.95811289548874, 225
374, 282.7140327692032, 213
375, 283.46995264291763, 222
376, 284.2258725166321, 242
377, 284.9817923903465, 257
378, 285.737712264061, 235
379, 286.4936321377754, 247
380, 287.24955201148987, 213
381, 288.0054718852043, 220
382, 288.76139175891876, 244
383, 289.5173116326332, 237
384, 290.27323150634766, 207
385, 291.0291513800621, 191
386, 291.78507125377655, 222
387, 292.540991127491, 213
388, 293.29691100120544, 244
389, 294.0528308749199, 221
390, 294.80875074863434, 211
391, 295.5646706223488, 231
392, 296.32059049606323, 259
393, 297.0765103697777, 238
394, 297.8324302434921, 199
395, 298.5883501172066, 239
396, 299.344269990921, 219
397, 300.10018986463547, 235
398, 300.8561097383499, 236
399, 301.61202961206436, 220
400, 302.3679494857788, 222
401, 303.12386935949326, 193
402, 303.8797892332077, 210
403, 304.63570910692215, 195
404, 305.3916289806366, 221
405, 306.14754885435104, 220
406, 306.9034687280655, 228
407, 307.65938860177994, 213
408, 308.4153084754944, 203
409, 309.17122834920883, 195
410, 309.9271482229233, 211
411, 310.6830680966377, 191
412, 311.4389879703522, 175
413, 312.1949078440666, 166
414, 312.95082771778107, 187
415, 313.7067475914955, 171
416, 314.46266746520996, 210
417, 315.2185873389244, 183
418, 315.97450721263885, 183
419, 316.7304270863533, 182
420, 317.48634696006775, 181
421, 318.2422668337822, 175
422, 318.99818670749664, 176
423, 319.7541065812111, 157
424, 320.51002645492554, 155
425, 321.26594632864, 160
426, 322.02186620235443, 159
427, 322.7777860760689, 182
428, 323.5337059497833, 148
429, 324.2896258234978, 154
430, 325.0455456972122, 151
431, 325.80146557092667, 139
432, 326.5573854446411, 167
433, 327.31330531835556, 138
434, 328.06922519207, 146
435, 328.82514506578445, 154
436, 329.5810649394989, 143
437, 330.33698481321335, 145
438, 331.0929046869278, 156
439, 331.84882456064224, 164
440, 332.6047444343567, 148
441, 333.36066430807114, 137
442, 334.1165841817856, 127
443, 334.87250405550003, 133
444, 335.6284239292145, 132
445, 336.3843438029289, 116
446, 337.1402636766434, 126
447, 337.8961835503578, 119
448, 338.65210342407227, 134
449, 339.4080232977867, 139
450, 340.16394317150116, 138
451, 340.9198630452156, 125
452, 341.67578291893005, 124
453, 342.4317027926445, 116
454, 343.18762266635895, 112
455, 343.9435425400734, 112
456, 344.69946241378784, 135
457, 345.4553822875023, 102
458, 346.21130216121674, 115
459, 346.9672220349312, 112
460, 347.72314190864563, 124
461, 348.4790617823601, 120
462, 349.2349816560745, 122
463, 349.99090152978897, 129
464, 350.7468214035034, 136
465, 351.50274127721786, 137
466, 352.2586611509323, 129
467, 353.01458102464676, 116
468, 353.7705008983612, 118
469, 354.52642077207565, 116
470, 355.2823406457901, 128
471, 356.03826051950455, 122
472, 356.794180393219, 106
473, 357.55010026693344, 120
474, 358.3060201406479, 138
475, 359.06194001436234, 137
476, 359.8178598880768, 124
477, 360.57377976179123, 137
478, 361.3296996355057, 116
479, 362.0856195092201, 129
480, 362.84153938293457, 135
481, 363.597459256649, 136
482, 364.35337913036346, 122
483, 365.1092990040779, 128
484, 365.86521887779236, 108
485, 366.6211387515068, 123
486, 367.37705862522125, 128
487, 368.1329784989357, 141
488, 368.88889837265015, 108
489, 369.6448182463646, 113
490, 370.40073812007904, 130
491, 371.1566579937935, 95
492, 371.91257786750793, 125
493, 372.6684977412224, 119
494, 373.42441761493683, 120
495, 374.1803374886513, 106
496, 374.9362573623657, 132
497, 375.69217723608017, 107
498, 376.4480971097946, 123
499, 377.20401698350906, 126
500, 377.9599368572235, 111
501, 378.71585673093796, 116
502, 379.4717766046524, 112
503, 380.22769647836685, 102
504, 380.9836163520813, 114
505, 381.73953622579575, 120
506, 382.4954560995102, 114
507, 383.25137597322464, 126
508, 384.0072958469391, 110
509, 384.76321572065353, 110
510, 385.519135594368, 112
511, 386.2750554680824, 120
512, 387.0309753417969, 113
513, 387.7868952155113, 126
514, 388.54281508922577, 115
515, 389.2987349629402, 92
516, 390.05465483665466, 96
517, 390.8105747103691, 101
518, 391.56649458408356, 124
519, 392.322414457798, 107
520, 393.07833433151245, 114
521, 393.8342542052269, 113
522, 394.59017407894135, 112
523, 395.3460939526558, 106
524, 396.10201382637024, 122
525, 396.8579337000847, 118
526, 397.61385357379913, 125
527, 398.3697734475136, 107
528, 399.125693321228, 106
529, 399.8816131949425, 115
530, 400.6375330686569, 96
531, 401.39345294237137, 108
532, 402.1493728160858, 110
533, 402.90529268980026, 121
534, 403.6612125635147, 98
535, 404.41713243722916, 99
536, 405.1730523109436, 110
537, 405.92897218465805, 110
538, 406.6848920583725, 101
539, 407.44081193208694, 102
540, 408.1967318058014, 117
541, 408.95265167951584, 109
542, 409.7085715532303, 105
