Start Time, Sun Mar 25 11:42:20 GMT-0400 2007
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 1199.585158
Real Time (s), 1200
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
93, 70.30054825544357, 302
94, 71.05646812915802, 296
95, 71.81238800287247, 288
96, 72.56830787658691, 281
97, 73.32422775030136, 300
98, 74.08014762401581, 300
99, 74.83606749773026, 272
100, 75.5919873714447, 272
101, 76.34790724515915, 250
102, 77.1038271188736, 279
103, 77.85974699258804, 258
104, 78.61566686630249, 266
105, 79.37158674001694, 259
106, 80.12750661373138, 267
107, 80.88342648744583, 298
108, 81.63934636116028, 239
109, 82.39526623487473, 249
110, 83.15118610858917, 258
111, 83.90710598230362, 275
112, 84.66302585601807, 281
113, 85.41894572973251, 263
114, 86.17486560344696, 243
115, 86.93078547716141, 217
116, 87.68670535087585, 225
117, 88.4426252245903, 262
118, 89.19854509830475, 278
119, 89.9544649720192, 231
120, 90.71038484573364, 232
121, 91.46630471944809, 233
122, 92.22222459316254, 217
123, 92.97814446687698, 247
124, 93.73406434059143, 223
125, 94.48998421430588, 196
126, 95.24590408802032, 226
127, 96.00182396173477, 224
128, 96.75774383544922, 221
129, 97.51366370916367, 194
130, 98.26958358287811, 226
131, 99.02550345659256, 231
132, 99.781423330307, 220
133, 100.53734320402145, 197
134, 101.2932630777359, 213
135, 102.04918295145035, 183
136, 102.8051028251648, 202
137, 103.56102269887924, 208
138, 104.31694257259369, 211
139, 105.07286244630814, 193
140, 105.82878232002258, 209
141, 106.58470219373703, 187
142, 107.34062206745148, 195
143, 108.09654194116592, 204
144, 108.85246181488037, 162
145, 109.60838168859482, 203
146, 110.36430156230927, 191
147, 111.12022143602371, 214
148, 111.87614130973816, 183
149, 112.6320611834526, 211
150, 113.38798105716705, 193
151, 114.1439009308815, 187
152, 114.89982080459595, 200
153, 115.6557406783104, 170
154, 116.41166055202484, 180
155, 117.16758042573929, 154
156, 117.92350029945374, 185
157, 118.67942017316818, 150
158, 119.43534004688263, 166
159, 120.19125992059708, 146
160, 120.94717979431152, 140
161, 121.70309966802597, 166
162, 122.45901954174042, 170
163, 123.21493941545486, 144
164, 123.97085928916931, 126
165, 124.72677916288376, 157
166, 125.4826990365982, 172
167, 126.23861891031265, 151
168, 126.9945387840271, 142
169, 127.75045865774155, 122
170, 128.506378531456, 124
171, 129.26229840517044, 147
172, 130.0182182788849, 142
173, 130.77413815259933, 154
174, 131.53005802631378, 116
175, 132.28597790002823, 140
176, 133.04189777374268, 139
177, 133.79781764745712, 108
178, 134.55373752117157, 107
179, 135.30965739488602, 121
180, 136.06557726860046, 113
181, 136.8214971423149, 134
182, 137.57741701602936, 135
183, 138.3333368897438, 132
184, 139.08925676345825, 129
185, 139.8451766371727, 132
186, 140.60109651088715, 122
187, 141.3570163846016, 132
188, 142.11293625831604, 128
189, 142.8688561320305, 136
190, 143.62477600574493, 147
191, 144.38069587945938, 125
192, 145.13661575317383, 122
193, 145.89253562688828, 121
194, 146.64845550060272, 136
195, 147.40437537431717, 99
196, 148.16029524803162, 104
197, 148.91621512174606, 99
198, 149.6721349954605, 121
199, 150.42805486917496, 138
200, 151.1839747428894, 126
201, 151.93989461660385, 119
202, 152.6958144903183, 119
203, 153.45173436403275, 114
204, 154.2076542377472, 132
205, 154.96357411146164, 97
206, 155.7194939851761, 104
207, 156.47541385889053, 104
208, 157.23133373260498, 109
209, 157.98725360631943, 105
210, 158.74317348003387, 102
211, 159.49909335374832, 103
212, 160.25501322746277, 94
213, 161.01093310117722, 94
214, 161.76685297489166, 92
215, 162.5227728486061, 84
216, 163.27869272232056, 91
217, 164.034612596035, 85
218, 164.79053246974945, 86
219, 165.5464523434639, 91
220, 166.30237221717834, 90
221, 167.0582920908928, 76
222, 167.81421196460724, 98
223, 168.5701318383217, 88
224, 169.32605171203613, 79
225, 170.08197158575058, 82
226, 170.83789145946503, 98
227, 171.59381133317947, 68
228, 172.34973120689392, 77
229, 173.10565108060837, 72
230, 173.86157095432281, 61
231, 174.61749082803726, 68
232, 175.3734107017517, 69
233, 176.12933057546616, 62
234, 176.8852504491806, 66
235, 177.64117032289505, 59
236, 178.3970901966095, 55
237, 179.15301007032394, 63
238, 179.9089299440384, 69
239, 180.66484981775284, 49
240, 181.42076969146729, 60
241, 182.17668956518173, 80
242, 182.93260943889618, 66
243, 183.68852931261063, 67
244, 184.44444918632507, 68
245, 185.20036906003952, 60
246, 185.95628893375397, 59
247, 186.71220880746841, 58
248, 187.46812868118286, 52
249, 188.2240485548973, 57
250, 188.97996842861176, 48
251, 189.7358883023262, 61
252, 190.49180817604065, 47
253, 191.2477280497551, 50
254, 192.00364792346954, 57
255, 192.759567797184, 51
256, 193.51548767089844, 48
257, 194.27140754461288, 63
258, 195.02732741832733, 43
259, 195.78324729204178, 54
260, 196.53916716575623, 38
261, 197.29508703947067, 44
262, 198.05100691318512, 39
263, 198.80692678689957, 51
264, 199.562846660614, 59
265, 200.31876653432846, 48
266, 201.0746864080429, 58
267, 201.83060628175735, 67
268, 202.5865261554718, 56
269, 203.34244602918625, 44
270, 204.0983659029007, 56
271, 204.85428577661514, 55
272, 205.6102056503296, 50
273, 206.36612552404404, 48
274, 207.12204539775848, 59
275, 207.87796527147293, 52
276, 208.63388514518738, 44
277, 209.38980501890182, 53
278, 210.14572489261627, 51
279, 210.90164476633072, 52
280, 211.65756464004517, 44
281, 212.4134845137596, 46
282, 213.16940438747406, 43
283, 213.9253242611885, 39
284, 214.68124413490295, 36
285, 215.4371640086174, 49
286, 216.19308388233185, 31
287, 216.9490037560463, 48
288, 217.70492362976074, 44
289, 218.4608435034752, 51
290, 219.21676337718964, 47
291, 219.97268325090408, 65
292, 220.72860312461853, 47
293, 221.48452299833298, 57
294, 222.24044287204742, 66
295, 222.99636274576187, 73
296, 223.75228261947632, 71
297, 224.50820249319077, 71
298, 225.2641223669052, 77
299, 226.02004224061966, 78
300, 226.7759621143341, 102
301, 227.53188198804855, 104
302, 228.287801861763, 104
303, 229.04372173547745, 106
304, 229.7996416091919, 128
305, 230.55556148290634, 149
306, 231.3114813566208, 176
307, 232.06740123033524, 179
308, 232.82332110404968, 185
309, 233.57924097776413, 213
310, 234.33516085147858, 243
311, 235.09108072519302, 244
312, 235.84700059890747, 263
313, 236.60292047262192, 235
314, 237.35884034633636, 251
315, 238.1147602200508, 273
316, 238.87068009376526, 278
317, 239.6265999674797, 297
318, 240.38251984119415, 311
319, 241.1384397149086, 316
320, 241.89435958862305, 291
321, 242.6502794623375, 311
322, 243.40619933605194, 307
323, 244.1621192097664, 284
324, 244.91803908348083, 266
325, 245.67395895719528, 277
326, 246.42987883090973, 251
327, 247.18579870462418, 238
328, 247.94171857833862, 246
329, 248.69763845205307, 234
330, 249.45355832576752, 190
331, 250.20947819948196, 177
332, 250.9653980731964, 154
333, 251.72131794691086, 136
334, 252.4772378206253, 129
335, 253.23315769433975, 136
336, 253.9890775680542, 118
337, 254.74499744176865, 78
338, 255.5009173154831, 89
339, 256.25683718919754, 64
340, 257.012757062912, 69
341, 257.76867693662643, 57
342, 258.5245968103409, 55
343, 259.2805166840553, 55
344, 260.0364365577698, 51
345, 260.7923564314842, 47
346, 261.54827630519867, 49
347, 262.3041961789131, 48
348, 263.06011605262756, 37
349, 263.816035926342, 45
350, 264.57195580005646, 34
351, 265.3278756737709, 33
352, 266.08379554748535, 39
353, 266.8397154211998, 33
354, 267.59563529491425, 29
355, 268.3515551686287, 31
356, 269.10747504234314, 39
357, 269.8633949160576, 27
358, 270.61931478977203, 24
359, 271.3752346634865, 39
360, 272.1311545372009, 35
361, 272.8870744109154, 37
362, 273.6429942846298, 37
363, 274.39891415834427, 29
364, 275.1548340320587, 45
365, 275.91075390577316, 39
366, 276.6666737794876, 44
367, 277.42259365320206, 33
368, 278.1785135269165, 42
369, 278.93443340063095, 29
370, 279.6903532743454, 42
371, 280.44627314805984, 34
372, 281.2021930217743, 43
373, 281.95811289548874, 47
374, 282.7140327692032, 45
375, 283.46995264291763, 32
376, 284.2258725166321, 36
377, 284.9817923903465, 32
378, 285.737712264061, 26
379, 286.4936321377754, 40
380, 287.24955201148987, 35
381, 288.0054718852043, 39
382, 288.76139175891876, 36
383, 289.5173116326332, 25
384, 290.27323150634766, 30
385, 291.0291513800621, 38
386, 291.78507125377655, 36
387, 292.540991127491, 23
388, 293.29691100120544, 34
389, 294.0528308749199, 25
390, 294.80875074863434, 39
