Start Time, Sun Mar 18 11:29:39 GMT-0400 2007
Energy calibration,  Offset: 0, Slope: 0.755919873714447, Quadratic: 0
Live Time (s), 28.297512
Real Time (s), 28.620118
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
93, 70.30054825544357, 38
94, 71.05646812915802, 29
95, 71.81238800287247, 47
96, 72.56830787658691, 38
97, 73.32422775030136, 28
98, 74.08014762401581, 49
99, 74.83606749773026, 37
100, 75.5919873714447, 41
101, 76.34790724515915, 35
102, 77.1038271188736, 32
103, 77.85974699258804, 41
104, 78.61566686630249, 42
105, 79.37158674001694, 50
106, 80.12750661373138, 60
107, 80.88342648744583, 57
108, 81.63934636116028, 55
109, 82.39526623487473, 61
110, 83.15118610858917, 59
111, 83.90710598230362, 64
112, 84.66302585601807, 81
113, 85.41894572973251, 81
114, 86.17486560344696, 70
115, 86.93078547716141, 84
116, 87.68670535087585, 102
117, 88.4426252245903, 107
118, 89.19854509830475, 108
119, 89.9544649720192, 117
120, 90.71038484573364, 113
121, 91.46630471944809, 107
122, 92.22222459316254, 110
123, 92.97814446687698, 98
124, 93.73406434059143, 104
125, 94.48998421430588, 85
126, 95.24590408802032, 62
127, 96.00182396173477, 68
128, 96.75774383544922, 64
129, 97.51366370916367, 67
130, 98.26958358287811, 74
131, 99.02550345659256, 61
132, 99.781423330307, 64
133, 100.53734320402145, 50
134, 101.2932630777359, 72
135, 102.04918295145035, 53
136, 102.8051028251648, 69
137, 103.56102269887924, 55
138, 104.31694257259369, 50
139, 105.07286244630814, 63
140, 105.82878232002258, 54
141, 106.58470219373703, 72
142, 107.34062206745148, 61
143, 108.09654194116592, 45
144, 108.85246181488037, 49
145, 109.60838168859482, 52
146, 110.36430156230927, 46
147, 111.12022143602371, 48
148, 111.87614130973816, 42
149, 112.6320611834526, 37
150, 113.38798105716705, 38
151, 114.1439009308815, 45
152, 114.89982080459595, 42
153, 115.6557406783104, 29
154, 116.41166055202484, 41
155, 117.16758042573929, 36
156, 117.92350029945374, 49
157, 118.67942017316818, 38
158, 119.43534004688263, 50
159, 120.19125992059708, 34
160, 120.94717979431152, 34
161, 121.70309966802597, 38
162, 122.45901954174042, 46
163, 123.21493941545486, 45
164, 123.97085928916931, 43
165, 124.72677916288376, 38
166, 125.4826990365982, 43
167, 126.23861891031265, 34
168, 126.9945387840271, 31
169, 127.75045865774155, 34
170, 128.506378531456, 46
171, 129.26229840517044, 28
172, 130.0182182788849, 41
173, 130.77413815259933, 36
174, 131.53005802631378, 39
175, 132.28597790002823, 32
176, 133.04189777374268, 46
177, 133.79781764745712, 43
178, 134.55373752117157, 36
179, 135.30965739488602, 43
180, 136.06557726860046, 43
181, 136.8214971423149, 37
182, 137.57741701602936, 44
183, 138.3333368897438, 34
184, 139.08925676345825, 43
185, 139.8451766371727, 34
186, 140.60109651088715, 31
187, 141.3570163846016, 40
188, 142.11293625831604, 38
189, 142.8688561320305, 36
190, 143.62477600574493, 57
191, 144.38069587945938, 37
192, 145.13661575317383, 53
193, 145.89253562688828, 39
194, 146.64845550060272, 33
195, 147.40437537431717, 41
196, 148.16029524803162, 60
197, 148.91621512174606, 33
198, 149.6721349954605, 47
199, 150.42805486917496, 37
200, 151.1839747428894, 35
201, 151.93989461660385, 26
202, 152.6958144903183, 34
203, 153.45173436403275, 33
204, 154.2076542377472, 31
205, 154.96357411146164, 39
206, 155.7194939851761, 39
207, 156.47541385889053, 42
208, 157.23133373260498, 29
209, 157.98725360631943, 39
210, 158.74317348003387, 31
211, 159.49909335374832, 36
212, 160.25501322746277, 36
213, 161.01093310117722, 38
214, 161.76685297489166, 36
215, 162.5227728486061, 29
216, 163.27869272232056, 42
217, 164.034612596035, 46
218, 164.79053246974945, 38
219, 165.5464523434639, 36
220, 166.30237221717834, 35
221, 167.0582920908928, 43
222, 167.81421196460724, 45
223, 168.5701318383217, 39
224, 169.32605171203613, 37
225, 170.08197158575058, 34
226, 170.83789145946503, 45
227, 171.59381133317947, 36
228, 172.34973120689392, 35
229, 173.10565108060837, 40
230, 173.86157095432281, 29
231, 174.61749082803726, 42
232, 175.3734107017517, 48
233, 176.12933057546616, 43
234, 176.8852504491806, 36
235, 177.64117032289505, 47
236, 178.3970901966095, 42
237, 179.15301007032394, 38
238, 179.9089299440384, 39
239, 180.66484981775284, 60
240, 181.42076969146729, 41
241, 182.17668956518173, 39
242, 182.93260943889618, 41
243, 183.68852931261063, 34
244, 184.44444918632507, 44
245, 185.20036906003952, 50
246, 185.95628893375397, 46
247, 186.71220880746841, 48
248, 187.46812868118286, 46
249, 188.2240485548973, 40
250, 188.97996842861176, 40
251, 189.7358883023262, 46
252, 190.49180817604065, 40
253, 191.2477280497551, 47
254, 192.00364792346954, 42
255, 192.759567797184, 39
256, 193.51548767089844, 40
257, 194.27140754461288, 49
258, 195.02732741832733, 43
259, 195.78324729204178, 45
260, 196.53916716575623, 45
261, 197.29508703947067, 43
262, 198.05100691318512, 51
263, 198.80692678689957, 39
264, 199.562846660614, 53
265, 200.31876653432846, 45
266, 201.0746864080429, 50
267, 201.83060628175735, 46
268, 202.5865261554718, 57
269, 203.34244602918625, 52
270, 204.0983659029007, 49
271, 204.85428577661514, 43
272, 205.6102056503296, 51
273, 206.36612552404404, 56
274, 207.12204539775848, 43
275, 207.87796527147293, 41
276, 208.63388514518738, 41
277, 209.38980501890182, 43
278, 210.14572489261627, 47
279, 210.90164476633072, 48
280, 211.65756464004517, 58
281, 212.4134845137596, 45
282, 213.16940438747406, 49
283, 213.9253242611885, 52
284, 214.68124413490295, 55
285, 215.4371640086174, 54
286, 216.19308388233185, 34
287, 216.9490037560463, 55
288, 217.70492362976074, 46
289, 218.4608435034752, 47
290, 219.21676337718964, 48
291, 219.97268325090408, 57
292, 220.72860312461853, 42
293, 221.48452299833298, 56
294, 222.24044287204742, 48
295, 222.99636274576187, 42
296, 223.75228261947632, 44
297, 224.50820249319077, 48
298, 225.2641223669052, 50
299, 226.02004224061966, 39
300, 226.7759621143341, 35
301, 227.53188198804855, 30
302, 228.287801861763, 52
303, 229.04372173547745, 41
304, 229.7996416091919, 47
305, 230.55556148290634, 38
